fsa,probable,vulnerable,is_most_recent,fever_chills_shakes,cough,shortness_of_breath,any_medical_conditions,travel_outside_canada,contact_with_illness,symptoms,conditions,needs
L8T,0.0,0.375,0.875,0.0,0.0,0.0,1.0,0.0,0.0,,,
L8V,0.0,0.21428571428571427,1.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,,,
L8W,0.0,0.2727272727272727,0.8636363636363636,0.09090909090909091,0.0,0.0,1.0,0.0,0.0,,,
L9A,0.0,0.2857142857142857,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
L9B,0.0,0.3333333333333333,0.8571428571428571,0.047619047619047616,0.047619047619047616,0.0,1.0,0.0,0.0,,,
L9C,0.0,0.24242424242424243,0.9090909090909091,0.0,0.0,0.0,1.0,0.0,0.0,,,
L9G,0.0,0.4791666666666667,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,,,
L9H,0.0,0.4,0.8,0.0,0.0,0.0,1.0,0.0,0.0,,,
L9R,0.04,0.52,0.76,0.04,0.0,0.0,1.0,0.0,0.04,,,
L9S,0.0,0.3448275862068966,0.7931034482758621,0.0,0.0,0.0,1.0,0.0,0.0,,,
L9T,0.0,0.23809523809523808,0.780952380952381,0.01904761904761905,0.01904761904761905,0.009523809523809525,1.0,0.0,0.0,,,
L9W,0.0,0.3673469387755102,0.6326530612244898,0.02040816326530612,0.0,0.0,1.0,0.0,0.0,,,
L9Y,0.022727272727272728,0.4318181818181818,0.8181818181818182,0.022727272727272728,0.045454545454545456,0.06818181818181818,1.0,0.0,0.0,,,
L9Z,0.0,0.45454545454545453,0.7727272727272727,0.0,0.045454545454545456,0.0,1.0,0.0,0.0,,,
M1B,0.0,0.36585365853658536,0.8780487804878049,0.12195121951219512,0.024390243902439025,0.024390243902439025,1.0,0.0,0.0,,,
M1C,0.0,0.4126984126984127,0.7619047619047619,0.0,0.015873015873015872,0.0,1.0,0.0,0.0,,,
M1E,0.015151515151515152,0.25757575757575757,0.8333333333333334,0.015151515151515152,0.0,0.0,1.0,0.0,0.015151515151515152,,,
M1G,0.0,0.35294117647058826,0.8823529411764706,0.0,0.0,0.0,1.0,0.0,0.0,,,
M1H,0.0,0.4117647058823529,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.0,1.0,0.0,0.0,,,
M1J,0.0,0.45454545454545453,0.8636363636363636,0.13636363636363635,0.045454545454545456,0.09090909090909091,1.0,0.0,0.0,,,
M1K,0.0,0.2857142857142857,0.8285714285714286,0.0,0.0,0.0,1.0,0.0,0.0,,,
M1L,0.027777777777777776,0.2222222222222222,0.7777777777777778,0.05555555555555555,0.027777777777777776,0.027777777777777776,1.0,0.027777777777777776,0.027777777777777776,,,
M1M,0.0,0.2,0.7111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,,,
M1N,0.02702702702702703,0.43243243243243246,0.8378378378378378,0.02702702702702703,0.0,0.02702702702702703,1.0,0.0,0.02702702702702703,,,
M1P,0.0,0.275,0.8,0.0,0.025,0.0,1.0,0.0,0.0,,,
M1R,0.0,0.425,0.7,0.1,0.025,0.0,1.0,0.0,0.0,,,
M1S,0.06666666666666667,0.3333333333333333,0.9,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,0.0,0.03333333333333333,,,
M1T,0.0,0.16,0.88,0.04,0.04,0.0,1.0,0.0,0.0,,,
M1V,0.0,0.16,0.92,0.0,0.0,0.0,1.0,0.0,0.0,,,
M1W,0.044444444444444446,0.28888888888888886,0.7333333333333333,0.022222222222222223,0.022222222222222223,0.06666666666666667,1.0,0.0,0.044444444444444446,,,
